Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.4189383,0.0001998002,0.2739918,17.55279462536176,17.552795004599222,830.0
2000,1.4189383,0.00019940018,0.23730224,13.334312341175973,13.334312454802102,771.25
3000,1.4175977,0.00019900019,0.41154844,8.228122501571972,8.228122602858154,353.6
4000,1.4174811,0.0001986002,0.44027436,9.281015694141388,9.281015683262272,353.7857142857143
5000,1.4178247,0.0001982002,0.58792216,10.275643561567579,10.275643545153018,341.07142857142856
6000,1.4178811,0.0001978002,0.6160917,8.567900977152235,8.567900966279387,282.6470588235294
7000,1.4168736,0.00019740018,0.7428059,10.502346334854762,10.502346425926468,338.8
8000,1.4166106,0.00019700019,0.8050381,11.351068730537708,11.351068670933063,351.46153846153845
9000,1.4173793,0.0001966002,0.90992284,11.28467862010002,11.284678687429793,348.0
10000,1.4176521,0.0001962002,0.9723082,10.894082804520925,10.894082852430923,330.06666666666666
11000,1.4176819,0.0001958002,1.0529552,8.942953326635891,8.942953325995607,267.27777777777777
12000,1.417696,0.0001954002,1.0351894,11.180518718560537,11.180518744986815,331.8666666666667
13000,1.4182185,0.0001950002,1.1029522,11.216377753019334,11.216377788225024,334.2
14000,1.4185697,0.0001946002,1.1998515,11.418805428913661,11.418805398128566,337.07142857142856
15000,1.4179683,0.00019420018,1.2544495,11.75824180671147,11.758241908206921,344.42857142857144
16000,1.4174516,0.0001938002,1.345184,10.036222875118256,10.036223016616484,287.5263157894737
17000,1.4177856,0.0001934002,1.412838,12.423427146214705,12.4234272402156,353.3076923076923
18000,1.4181474,0.0001930002,1.532545,11.469436983267466,11.469437026024874,332.8
19000,1.4184442,0.0001926002,1.5610788,11.626543971208426,11.626543963708592,337.6923076923077
20000,1.4188591,0.00019220018,1.5935534,13.079279520681926,13.079279408690386,365.7142857142857
21000,1.418926,0.00019180021,1.7150623,11.873491116364796,11.873491123038184,323.0
22000,1.4190463,0.0001914002,1.7569491,15.546388159195581,15.546388047048822,407.8333333333333
23000,1.4186046,0.00019100019,1.847819,16.430695980787277,16.430696009122766,433.2
24000,1.417534,0.0001906002,1.9395945,20.205336797237397,20.20533669691067,487.3
25000,1.416938,0.0001902002,1.9354287,24.287441298365593,24.287441209628014,562.125
26000,1.4149759,0.00018980021,2.238049,22.506809604167938,22.50680953511037,511.8
27000,1.4148145,0.00018940019,2.2647452,58.634177247683205,58.634177645357944,1175.0
28000,1.4141172,0.00018900019,2.4253223,51.95775785048803,51.95775818017622,1059.6666666666667
29000,1.4141856,0.00018860021,2.4787798,50.8930833141009,50.89308372845213,1026.0
30000,1.4146442,0.00018820021,2.7055151,None,None,None
31000,1.4145327,0.0001878002,2.7247853,112.62323974072933,112.62324040189075,2089.6666666666665
32000,1.4134947,0.0001874002,2.93966,None,None,None
33000,1.4134815,0.0001870002,2.9557557,None,None,None
34000,1.4130383,0.00018660021,3.207518,None,None,None
35000,1.4130383,0.0001862002,3.188044,None,None,None
36000,1.4105971,0.00018580019,3.4088752,271.23146361708643,271.23146340753885,4804.8
37000,1.4105798,0.00018540022,3.4333854,None,None,None
38000,1.4086376,0.0001850002,3.6119943,None,None,None
39000,1.4083729,0.0001846002,3.64669,None,None,None
40000,1.4082197,0.00018420021,3.8038075,None,None,None
